steaming_data,sentiment_score,sentiment
klnuma halooo utbk kemarin engga ubah nama yaa pas cek awas aman aman aja,0.0,Netral
selamat it means utbk h,0.0,Netral
resolusi lolos utbk pilih,0.0,Netral
nyoba snbp kalo ngga lolos ngga utbk gap year aja ngga sih,0.0,Netral
officialgopusat lulus utbk pilih,0.0,Netral
itsssdhaa aamiin allahumma amiin moga nilai utbk nya baguuus,0.0,Netral
sbmptnfess lt karenaa skor tp turun mulu stabil moga pas utbk atas aamiin,0.0,Netral
helocenr huaaaaaa makasiii zulhaa moga ya pelan pelan moga skor utbk,0.0,Netral
elloiraa diem diem aja ajar sekolah tu kyk malas bngt takut ga percaya kalo ajar utbk wkwk,0.0,Netral
jujur nggak pandai nembak jaman utbk bilang cmn modal nembak lolos maaf laku jgn nembak nge block,-0.4404,Negatif
utbk ga nyata yg nyata cm cinta kpd shiho hinomoris,0.0,Netral
udah udah fokus ajar utbk jarang aktif twitter,0.0,Netral
sbmptnfess kasi kalo kemaren semester buku fokus materi amp utbk tambah materi sekolah ntar udah masuk kelas intensif dapet buku isi full,0.0,Netral
wishlist rajin ajar lulus utbk ikhlasin u dapet dr u,0.0,Netral
kuropromax hhv hahaha ayoww harap ya udah lupa lot of materi sma utbk,0.5574,Positif
anothertrashit hhv ga sih pnsrn aja lets be moots ka ajarin yg utbk,0.0,Netral
rohmarani yoursweetyhani sbmptnfess kak tanyaa seingetku akt yg bilang to sainsin tuh bgt sm utbk esp pm bener ga yaah soalny abis ngerjain to sainsin pm nya mayan susah huhu,0.0,Netral
selamat,0.0,Netral
new year n im not mentally prepared hadap utbk keren,-0.1695,Negatif
happy new year ndase mumet mikir utbk hepi su,0.5719,Positif
moga gapyear lolos utbk aamiin allahumma aamiin,0.0,Netral
resolusi skor utbk atas latih to gopert,0.0,Netral
utbk lolos lppkm januari bismillah moga kuat lolos,0.0,Netral
resolusi plan utbk ulang lolos skd stan lolos uji masuk stan terima stan nilai aman ttp jawa langsung kerja tdk do,0.0,Netral
snpmbbppp moga teman lolos utbk snbt prodi univ impi,0.0,Netral
snpmbbppp min moga lolos steik itb jalur utbk snbt,0.0,Netral
jalan versi dzwichareina casual cafe gt ngerasain hectic fnb pas bukber gt kerja gt linglung milih jurus gt milih daftar plus kip gt utbk gt sadar janggal emak gue gt diinfoin kalo emak dah kawin dah hamil,0.91,Positif
utbk wkwk,0.0,Netral
rpx sbmptnfess bareng kak ga temen ajar utbk,0.0,Netral
traptizedd lolos utbk bg,0.0,Netral
keydeejmss wajib countdown utbk yhhh anw happy new yearr,0.5719,Positif
mhdarieff lolos utbk,0.0,Netral
utbkcak maba akuntansi ugm taun jalur utbk,0.0,Netral
nnrn bener seru tp utbk phase gamau ngulang,0.0,Netral
pusing capek ajar utbk pusing capek ajar statistika its,0.0,Netral
utbk utbk,0.0,Netral
utbkcak lolos ptn s farmasiuniversitas padjajaran utbk,0.0,Netral
ya allah hilang malas bsk bljr utbk,0.0,Netral
moga capai moga masuk ptn snpmb utbk aamiin,0.0,Netral
ziza maba ilkom upn skor utbk tembus lolos kipk aamiin allahuma aamiin smoga yg doain lolos snbt univ impi hihi,0.0,Netral
banyakk pas jaman utbk mimisan trs tensi gw turun banget sampe pas kuliah aja udah x gw demamsesek napas,0.0,Netral
balesan reply ngespace cerita random bgt kenang yg udah haidar marko orang yg nemenin berat pas gila gila ajar utbk kemaren haidar ngespace ga ngerasa begadang ajar,0.0,Netral
utbk bilek hi kids,0.0,Netral
thread hasil to utbk,0.0,Netral
takut ga lolos utbk takut ga kerja takut ga apaapa,0.0,Netral
saat gw ga kendali gin plis liat progress orang utbk woilah salah gw,0.4215,Positif
halo gue fokus baik kejar utbk masuk fk unej gak capek selamat nyata lolos snbt prodi didik dokter universitas jember pampang nyata moga kuat kuat,0.0,Netral
utbkcak lolos ilmu komunikasi universitas indonesia utbk snbp,0.0,Netral
yak ajar utbk guys,0.0,Netral
selamat taun semuaa selamat juang utbk diri,0.0,Netral
cok udh udah tungguin uprakusutbk dll,0.0,Netral
yxungbyy coba nonton video ajar ngantuk,0.0,Netral
utbk bentar hahahhaah stress,-0.4215,Negatif
