full_text,cleaning,case_folding,tokenize,filtering/stopword removal,steaming_data
Melalui Program IISMA Mahasiswi Psikologi Universitas Diponegoro Bawakan Cita Rasa Indonesia ke Republik Ceko https://t.co/51QwXcI9o0,Melalui Program IISMA Mahasiswi Psikologi Universitas Diponegoro Bawakan Cita Rasa Indonesia ke Republik Ceko ,melalui program iisma mahasiswi psikologi universitas diponegoro bawakan cita rasa indonesia ke republik ceko ,"['melalui', 'program', 'iisma', 'mahasiswi', 'psikologi', 'universitas', 'diponegoro', 'bawakan', 'cita', 'rasa', 'indonesia', 'ke', 'republik', 'ceko']","['program', 'iisma', 'mahasiswi', 'psikologi', 'universitas', 'diponegoro', 'bawakan', 'cita', 'indonesia', 'republik', 'ceko']",program iisma mahasiswi psikologi universitas diponegoro bawa cita indonesia republik ceko
hooo EPT sekarang ada joki dan pemalsuan sertifikat yaa... Kalo terkait pemalsuan sertifikat mungkin di IISMA/LPDP gamasuk secara ya harusnya mereka crosscheck validity certif nya Tapi kalau untuk lamar kerja dan lain-lain... Idk it's sad that we've come to this,hooo EPT sekarang ada joki dan pemalsuan sertifikat yaa Kalo terkait pemalsuan sertifikat mungkin di IISMALPDP gamasuk secara ya harusnya mereka crosscheck validity certif nya Tapi kalau untuk lamar kerja dan lainlain Idk its sad that weve come to this,hooo ept sekarang ada joki dan pemalsuan sertifikat yaa kalo terkait pemalsuan sertifikat mungkin di iismalpdp gamasuk secara ya harusnya mereka crosscheck validity certif nya tapi kalau untuk lamar kerja dan lainlain idk its sad that weve come to this,"['hooo', 'ept', 'sekarang', 'ada', 'joki', 'dan', 'pemalsuan', 'sertifikat', 'yaa', 'kalo', 'terkait', 'pemalsuan', 'sertifikat', 'mungkin', 'di', 'iismalpdp', 'gamasuk', 'secara', 'ya', 'harusnya', 'mereka', 'crosscheck', 'validity', 'certif', 'nya', 'tapi', 'kalau', 'untuk', 'lamar', 'kerja', 'dan', 'lainlain', 'idk', 'its', 'sad', 'that', 'weve', 'come', 'to', 'this']","['hooo', 'ept', 'joki', 'pemalsuan', 'sertifikat', 'yaa', 'kalo', 'terkait', 'pemalsuan', 'sertifikat', 'iismalpdp', 'gamasuk', 'ya', 'crosscheck', 'validity', 'certif', 'nya', 'lamar', 'kerja', 'lainlain', 'idk', 'its', 'sad', 'that', 'weve', 'come', 'to', 'this']",hooo ept joki palsu sertifikat yaa kalo kait palsu sertifikat iismalpdp gamasuk ya crosscheck validity certif nya lamar kerja lainlain idk its sad that weve come to this
Btw mo cerita kmrn pas volunteer SUMPEH RELAWAN YG LAIN KEREN2 POL Ak temenan sm satu anak aiesec sm iisma bjrittttt trs gw diceritain deh tntg aiesec krn mata gw lgdg when i found out shes an aiesec,Btw mo cerita kmrn pas volunteer SUMPEH RELAWAN YG LAIN KEREN POL Ak temenan sm satu anak aiesec sm iisma bjrittttt trs gw diceritain deh tntg aiesec krn mata gw lgdg when i found out shes an aiesec,btw mo cerita kmrn pas volunteer sumpeh relawan yg lain keren pol ak temenan sm satu anak aiesec sm iisma bjrittttt trs gw diceritain deh tntg aiesec krn mata gw lgdg when i found out shes an aiesec,"['btw', 'mo', 'cerita', 'kmrn', 'pas', 'volunteer', 'sumpeh', 'relawan', 'yg', 'lain', 'keren', 'pol', 'ak', 'temenan', 'sm', 'satu', 'anak', 'aiesec', 'sm', 'iisma', 'bjrittttt', 'trs', 'gw', 'diceritain', 'deh', 'tntg', 'aiesec', 'krn', 'mata', 'gw', 'lgdg', 'when', 'i', 'found', 'out', 'shes', 'an', 'aiesec']","['btw', 'mo', 'cerita', 'kmrn', 'pas', 'volunteer', 'sumpeh', 'relawan', 'yg', 'keren', 'pol', 'ak', 'temenan', 'sm', 'anak', 'aiesec', 'sm', 'iisma', 'bjrittttt', 'trs', 'gw', 'diceritain', 'deh', 'tntg', 'aiesec', 'krn', 'mata', 'gw', 'lgdg', 'when', 'i', 'found', 'out', 'shes', 'an', 'aiesec']",btw mo cerita kmrn pas volunteer sumpeh rawan yg keren pol ak temenan sm anak aiesec sm iisma bjrittttt trs gw diceritain deh tntg aiesec krn mata gw lgdg when i found out shes an aiesec
@akuadn_ capek2 ngejar iisma dibilang gacha ,akuadn capek ngejar iisma dibilang gacha ,akuadn capek ngejar iisma dibilang gacha ,"['akuadn', 'capek', 'ngejar', 'iisma', 'dibilang', 'gacha']","['akuadn', 'capek', 'ngejar', 'iisma', 'dibilang', 'gacha']",akuadn capek ngejar iisma bilang gacha
Kalo ga IISMA ya S2 di PTLN tapi kalo bisa 22nya sih hehe,Kalo ga IISMA ya S di PTLN tapi kalo bisa nya sih hehe,kalo ga iisma ya s di ptln tapi kalo bisa nya sih hehe,"['kalo', 'ga', 'iisma', 'ya', 's', 'di', 'ptln', 'tapi', 'kalo', 'bisa', 'nya', 'sih', 'hehe']","['kalo', 'ga', 'iisma', 'ya', 's', 'ptln', 'kalo', 'nya', 'sih', 'hehe']",kalo ga iisma ya s ptln kalo nya sih hehe
@plattically Waduhh... *mempersiapkan diri*,plattically Waduhh mempersiapkan diri,plattically waduhh mempersiapkan diri,"['plattically', 'waduhh', 'mempersiapkan', 'diri']","['plattically', 'waduhh']",plattically waduhh
@larrons__ IHH PLS IKUTAN LAGI NANTI (seruu bgtt),larrons IHH PLS IKUTAN LAGI NANTI seruu bgtt,larrons ihh pls ikutan lagi nanti seruu bgtt,"['larrons', 'ihh', 'pls', 'ikutan', 'lagi', 'nanti', 'seruu', 'bgtt']","['larrons', 'ihh', 'pls', 'ikutan', 'seruu', 'bgtt']",larrons ihh pls ikut seruu bgtt
@ARkesmaaa Gass inimah,ARkesmaaa Gass inimah,arkesmaaa gass inimah,"['arkesmaaa', 'gass', 'inimah']","['arkesmaaa', 'gass', 'inimah']",arkesmaaa gass inimah
AWAOKWKWKW DEMIAPA SERU BGT,AWAOKWKWKW DEMIAPA SERU BGT,awaokwkwkw demiapa seru bgt,"['awaokwkwkw', 'demiapa', 'seru', 'bgt']","['awaokwkwkw', 'demiapa', 'seru', 'bgt']",awaokwkwkw apa seru bgt
@Bvtterflywaltz Sem 7 juga skem abis pertukaran pelajar ngandelin iisma doang anjirrr itu jg batas nya Sem 6,Bvtterflywaltz Sem  juga skem abis pertukaran pelajar ngandelin iisma doang anjirrr itu jg batas nya Sem ,bvtterflywaltz sem  juga skem abis pertukaran pelajar ngandelin iisma doang anjirrr itu jg batas nya sem ,"['bvtterflywaltz', 'sem', 'juga', 'skem', 'abis', 'pertukaran', 'pelajar', 'ngandelin', 'iisma', 'doang', 'anjirrr', 'itu', 'jg', 'batas', 'nya', 'sem']","['bvtterflywaltz', 'sem', 'skem', 'abis', 'pertukaran', 'pelajar', 'ngandelin', 'iisma', 'doang', 'anjirrr', 'jg', 'batas', 'nya', 'sem']",bvtterflywaltz sem skem abis tukar ajar ngandelin iisma doang anjirrr jg batas nya sem
